nama_sample,ph_label,ppm_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,ntu_sensor,suhu
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48872.30,2.4610,13124.40,0.6609,0.6077,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49323.60,2.4837,14411.00,0.7257,0.6673,2160,1.7407,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48961.80,2.4655,13617.50,0.6857,0.6305,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48741.00,2.4543,13028.20,0.6560,0.6032,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48913.90,2.4630,13338.90,0.6717,0.6176,2175,1.7527,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48760.20,2.4553,14438.10,0.7270,0.6685,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48630.60,2.4488,14020.60,0.7060,0.6492,2160,1.7407,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48942.70,2.4645,13454.00,0.6775,0.6230,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48843.40,2.4595,14298.80,0.7200,0.6621,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49053.10,2.4701,14836.80,0.7471,0.6870,2148,1.7310,0.10,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49229.10,2.4789,13530.70,0.6813,0.6265,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49430.80,2.4891,12986.60,0.6539,0.6013,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48955.50,2.4651,13890.90,0.6995,0.6425,2162,1.7423,0.00,29.44
